timestamp,#Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,lat,lon,emit
2022-07-15 00:44:22,2022-081 ,2459775.53,2022 Jul 15 0044:22,Falcon 9,FT5,158/B1067.5  F165,Dragon CRS-25,Dragon C208.3,-,-,KSC,LC39A,-,-,    421, ,    -, ,-,17.447,SPX,OS,-,CX,Sat ISS D,Wire,-,-,28.6083,-80.6041,0.0
2022-07-15 22:57:16,2022-082 ,2459776.46,2022 Jul 15 2257:16,Chang Zheng 2C,-,Y71,Siwei 2-01/02,Siwei GJ 2-01/02,-,-,TYSC,LC9,-,-,    501, ,    -, ,-,1.2,CALT,OS,-,G/C,Sat SSO L,nasaspaceflight.com,-,-,37.5,112.6,0.0
2022-07-17 14:20:00,2022-083 ,2459778.1,2022 Jul 17 1420:00,Falcon 9,FT5,166/B1051.13 F166,Starlink-53,Starlink Group 4-22,V1.5 4-22 (53 Ku),-,CC,LC40,-,-,    541, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,28.46,-80.54,0.0
2022-07-22 17:39:40,2022-084 ,2459783.24,2022 Jul 22 1739:40,Falcon 9,FT5,167/B1071.4  F167,Starlink-54,Starlink Group 3-2,V1.5 3-2  (46 Ku),-,VSFBS,SLC4E,-,-,    567, ,    -, ,-,13.862,SPX,OS,-,C,Sat SSO D 4,Wire,-,-,34.63,-120.61,0.0
2022-07-23 20:00:00,2022-S60  ,2459784.33,2022 Jul 23 2000:00,S-520,-,S-520-RD1,S-520-RD1,-,-,-,USC,K,-,-,    168, ,    -, ,-,0.0,JAXA,SS,-,ISAS/,Tech/Reentry test,jaxa.jp,-,-,31.25,131.079,0.0
2022-07-24 06:22:30,2022-085 ,2459784.77,2022 Jul 24 0622:30,Chang Zheng 5B,-,Y3,Wentian,Wentian,-,-,WEN,LC101,-,-,    435, ,    -, ,-,23.05,CALT,OS,-,G,Sat LSS O,nasaspaceflight.com,xinhuanet.com,-,19.6142,110.9511,0.0
2022-07-24 13:38:20,2022-086 ,2459785.07,2022 Jul 24 1338:20,Falcon 9,FT5,168/B1062.8  F168,Starlink-55,Starlink Group 4-25,V1.5 4-25 (53 Ku),-,KSC,LC39A,-,-,    541, ,    -, ,-,15.941,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,28.6083,-80.6041,0.0
2022-07-27 04:12:00,2022-087 ,2459787.67,2022 Jul 27 0412,Lijian-1,-,Y1,XJS,-,-,-,JQ,LC130,-,-,    544, ,    -, ,-,0.899,ZKYT,OS,-,C,Sat SSO L,nasaspaceflight.com,-,-,41.31,100.31,0.0
2022-07-29 13:28:00,2022-088 ,2459790.06,2022 Jul 29 1328,Chang Zheng 2D,-,Y65,YG-35 03,Yaogan 35 03,-,-,XSC,LC3,-,-,    526, ,    -, ,-,5.306,SAST,OS,-,G,Sat LEO O,nasaspaceflight.com,-,-,28.2472,102.0291,0.0
2022-08-01 20:25:00,2022-089 ,2459793.35,2022 Aug  1 2025,Soyuz-2-1V,Volga,-,Kosmos-2558,Nivelir?,-,-,GIK-1,LC43/4?,-,-,    455, ,    -, ,-,0.547,VVKO,OS,-,G,Sat SSO OD,spaceflightnow.com,-,-,62.9,40.5,0.0
2022-08-04 03:08:00,2022-090 ,2459795.63,2022 Aug  4 0308,Chang Zheng 4B,-,Y40,Guomang,Guomang,-,-,TYSC,LC9,-,-,    509, ,    -, ,-,1.645,SAST,OS,-,G,Sat SSO L,nasaspaceflight.com,-,-,37.5,112.6,0.0
2022-08-04 05:00:00,2022-091 ,2459795.71,2022 Aug  4 0500,Electron,-,29,Antipodean Adventure,NROL-199,-,-,MAHIA,LC1B,-,-,    643, ,    -, ,-,0.1,RLABN,OS,-,C/G,Sat LEO OO,Wire,-,-,-39.2609,177.8655,0.0
2022-08-04 05:56:00,2022-S61  ,2459795.75,2022 Aug  4 0556?,DF-15,-,-,Near-Taiwan Zone 1,-,-,-,PRC-T1,-,-,-,    100,?,    -, ,120E 22N?,0.0,PLA2AC,MS,-,-,Test,taiwandc.org,-,-,25.8,115.0,0.0
2022-08-04 06:00:00,2022-S62  ,2459795.75,2022 Aug  4 0600?,DF-15,-,-,Near-Taiwan Zone 1,-,-,-,PRC-T1,-,-,-,    100,?,    -, ,119E 22.5N?,0.0,PLA2AC,MS,-,-,Test,taiwandc.org,-,-,25.8,115.0,0.0
