"State","Facility Name","Facility ID","Year","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","CO2 Mass (short tons)","NOx Mass (short tons)","Heat Input (mmBtu)"
"AL","Barry",3,2025,6996099.75,,104.051,3243270.925,515.811,50343455.725
"TX","Copper Station",9,2025,,,,,,
"AL","Greene County",10,2025,551466.5,,1.801,324869.562,374.039,5426909.575
"AL","E C Gaston",26,2025,1823589.75,,622.933,1514167.65,1159.13,18349145.575
"AL","Colbert",47,2025,676115.88,,2.213,429142.551,157.741,7223987.856
"KY","Smith Generating Facility",54,2025,500703.14,,1.849,359329.623,114.473,6044450.367
"AL","Charles R Lowman",56,2025,2341773.57,,4.31,853718.706,110.085,14365472.227
"NE","Platte",59,2025,168702.04,,155.295,201343.973,205.775,1919759.439
"NE","Gerald Whelan Energy Center",60,2025,650373.29,,842.785,656372.625,381.174,6258344.232
"KS","Holcomb",108,2025,915277.57,,631.002,926099.034,846.078,8830089.622
"AZ","Cholla",113,2025,438207.34,,167.906,467026.462,382.845,4551918.497
"AZ","Ocotillo Power Plant",116,2025,325982.33,,0.894,176949.275,12.236,2977493.954
"AZ","APS West Phoenix Power Plant",117,2025,1358916.4,,3.071,608191.431,82.18,10234015.853
"AZ","APS Saguaro Power Plant",118,2025,45803.4,,0.175,34694.99,11.357,583793.028
"AZ","Yucca Power Plant",120,2025,60729.02,,0.181,35822.343,3.155,602760.958
"AZ","De Moss Petrie Generating Station",124,2025,1179.2,,0.027,928.119,0.438,15613.836
"AZ","Irvington Generating Station",126,2025,425693.27,,7.755,263336.446,398.255,4431175.303
"SC","Cross",130,2025,5035072.5,,3249.774,5264289.63,1892.256,51308880.697
"FL","Seminole (136)",136,2025,4913754.56,,910.043,2556416.619,515.617,34527393.554
"AZ","Agua Fria Generating Station",141,2025,61872.43,,0.192,38058.399,92.03,640422.216
"AZ","Kyrene Generating Station",147,2025,158475.84,,0.344,68058.892,8.76,1145197.066
"AZ","Apache Station",160,2025,1011260.76,,41.117,768709.857,716.935,10783757.064
"OK","Grand River Dam Authority",165,2025,2190137.68,,643.484,1378654.018,782.999,17514891.13
"AR","Lake Catherine",170,2025,176223.11,,0.569,112697.085,235.959,1896340.533
"AR","Thomas Fitzhugh",201,2025,243776.33,,0.641,126929.481,82.112,2135828.577
"AR","Carl Bailey",202,2025,,,,,,
"AR","McClellan",203,2025,,130500.3,2.613,13211.337,19.657,199139.547
"CA","Moss Landing Power Plant",260,2025,1702359.72,,3.69,691344.807,70.547,12299001.811
"TX","Limestone",298,2025,3992659.7,,12450.33,4574295.199,4804.775,43854414.826
"CA","Cabrillo Power I Encina Power Station",302,2025,100915.85,,0.304,59981.769,4.762,1009296.606
"CA","AES Alamitos",315,2025,692193.84,,1.484,293859.008,16.828,4944773.49
"CA","El Segundo",330,2025,14427.89,,0.04,8073.527,0.447,135854.868
"CA","AES Huntington Beach",335,2025,679273.53,,1.408,278922.489,16.155,4693418.74
"CA","Long Beach Generating Station",341,2025,3116.12,,0.016,3128.569,0.651,52642.412
"CA","Ormond Beach Power, LLC.",350,2025,14542.84,,0.058,11372.743,0.986,191365.92
"CA","Mountainview Generating Station",358,2025,419053.17,,0.91,180081.024,14.665,3030206.855
"CA","Grayson Power Plant",377,2025,7690.93,,0.028,4881.071,0.465,82130.687
"CA","El Centro",389,2025,494075.07,,1.217,241091.467,39.796,4056829.744
"CA","Harbor Generating Station",399,2025,40984.05,,0.115,22584.845,1.07,386305.83
"CA","Haynes Generating Station",400,2025,871257.24,,1.902,370738.776,22.838,6342047.167
"CA","Scattergood Generating Station",404,2025,737130.16,,1.732,338351.832,17.513,5771150.495
"CA","Valley Generating Station",408,2025,413327.38,,0.883,172088.036,12.509,2943802.912
"CA","Glenarm",422,2025,85997.53,,0.286,60915.715,5.822,1025050.066
"CO","Cherokee",469,2025,1551622.44,,3.441,684268.802,109.353,11514095.812
"CO","Comanche (470)",470,2025,3186032.34,,1383.648,3470711.215,1494.534,33272574.438
"CO","Martin Drake",492,2025,36541.78,,0.131,24122.316,13.269,405740.396
"CO","Hayden",525,2025,1329997,,792.548,1344325.226,341.217,13102600.526
"AL","McWilliams",533,2025,1170841.03,,3.674,725623.825,100.537,12209938.2
"CT","Branford",540,2025,186.64,,,,1.041,3022.5
"CT","Cos Cob",542,2025,592.58,,,,0.94,10201.3
"CT","Devon",544,2025,12055.6,,0.637,9300.173,11.854,124875.527
"CT","Montville",546,2025,128039,,151.963,106629.233,101.894,1427990.247
"CT","Franklin Drive",561,2025,211.76,,,,1.455,3617.5
"CT","Middletown",562,2025,112121.23,,191.231,103994.54,89.348,1284594.754
"FL","Curtis H. Stanton Energy Center",564,2025,4562514.45,,1434.312,3662336.883,3078.282,41958204.202
"CT","Torrington Terminal",565,2025,150.82,,,,1.206,2645
"CT","Bridgeport Harbor Station",568,2025,1750258.42,,3.566,684179.938,35.844,11395531.855
"VT","J C McNeil",589,2025,115864.5,,0.5,171519.85,56.067,1637580.1
"DE","Christiana Substation",591,2025,466.16,,,867.6,4.855,10708.1
"DE","Delaware City",592,2025,68.28,,,,0.856,1427.1
"DE","Edge Moor",593,2025,136945.37,,20.288,97167.864,52.962,1604356.956
"DE","Indian River",594,2025,287198.51,,154.694,315033.278,119.62,3077270.762
"DE","West Substation",597,2025,87.54,,,,1.158,1930.2
"MD","Brandon Shores",602,2025,1357378.03,,521.051,1423147.252,740.016,13870836.314
"WA","Fredonia Generating Station",607,2025,1045.6,,0.009,608.962,0.103,10245.089
"FL","Cape Canaveral",609,2025,3286778.01,,6.654,1317710.315,85.276,22170826.503
"FL","Fort Myers",612,2025,4440334.59,,10.145,2009036.293,452.265,33802578.287
"FL","Lauderdale",613,2025,2837568.86,,5.895,1165761.904,86.264,19604676.318
"FL","Port Everglades",617,2025,2925611.21,,6.153,1217234.436,80.342,20473149.771
"FL","Riviera Beach Energy Center",619,2025,3296430.76,,6.503,1287290.889,88.907,21656366.889
"FL","Sanford",620,2025,3468820.25,,7.645,1514120.323,374.166,25478004.594
"FL","Turkey Point",621,2025,2795023.76,,5.861,1160887.782,75.974,19533845.575
"FL","Crystal River",628,2025,7927101.01,,1598.672,4208852.958,2292.429,57685522.646
"FL","P L Bartow",634,2025,3070682.51,,6.56,1304338.563,405.047,21947948.493
"FL","Gulf Clean Energy Center",641,2025,915800.39,,3.081,609420.704,456.75,10250041.751
"FL","Lansing Smith Generating Plant",643,2025,1710547.9,,3.659,724833.195,174.424,12196722.402
"FL","Big Bend",645,2025,3679490.1,,60.975,1575547.771,608.396,26228829.919
"FL","Deerhaven",663,2025,643951.59,,141.224,436567.407,341.898,7210636.211
"FL","J R Kelly",664,2025,329268.12,,0.825,163361.437,30.804,2748883.535
"FL","J D Kennedy",666,2025,255767.77,,0.862,158188.777,44.908,2650356.178
"FL","Northside",667,2025,1151811.84,,700.335,1147358.451,522.647,12769366.201
"FL","Charles Larsen Memorial Power Plant",675,2025,78894.71,,0.501,61081.489,37.843,1020630.847
"FL","C D McIntosh Jr Power Plant",676,2025,400144.43,,1.378,272484.784,63.81,4575075.343
"FL","Indian River (683)",683,2025,28305.76,,0.122,24119.6,13.285,405860.559
"FL","Arvah B Hopkins",688,2025,708322.91,,15.912,325266.099,39.997,5462808.351
"FL","S O Purdom",689,2025,451655.6,,1.636,324065.307,80.795,5452859.458
"GA","Bowen",703,2025,6087932.34,,4322.876,5857666.459,3194.185,57092338.051
"GA","Jack McDonough",710,2025,8010252.8,,20.349,3145289.026,203.617,52943664.187
"GA","McManus",715,2025,7998,,24.257,,58.213,97023.1
"GA","Yates",728,2025,638249.29,,2.052,406620.126,269.721,6842169.838
"OK","Ponca",762,2025,10993.4,,0.032,6271.265,4.745,105516.511
"IL","Kincaid Generating Station",876,2025,1245593.36,,557.093,1291681.526,220.302,12315802.636
"IL","Powerton",879,2025,1612072.41,,895.4,1910459.15,916.187,18215684.943
"IL","Waukegan",883,2025,,,0.022,2429.2,17.99,29984.2
"IL","Fisk",886,2025,,,0.029,3234.3,23.965,39940.7
"IL","Baldwin Energy Complex",889,2025,3513183.43,,1131.092,3362228.745,1252.484,32057880.929
"IL","Venice",913,2025,10515.35,,0.033,6573.199,3.029,110600.277
"IL","Dallman",963,2025,482505.35,,183.055,509347.438,199.707,4969834.326
"IL","Marion",976,2025,654020.64,,1773.652,861782.657,273.931,8710264.308
"IN","Clifty Creek",983,2025,3292349.94,,1340.908,3323218.51,2544.257,32390003.54
"IN","IPL - Harding Street Station (EW Stout)",990,2025,1595042.52,,4.946,979594.58,489.584,16483505.249
"IN","IPL - Eagle Valley Generating Station",991,2025,2696546.62,,5.122,1014608.232,42.307,17072743.599
"IN","C. C. Perry K Steam Plant",992,2025,,1054388.5,,36989.653,133.191,1464589.445
"IN","IPL - Petersburg Generating Station",994,2025,2771028.57,,1830.833,2742116.058,1847.524,26726257.542
"IN","Michigan City Generating Station",997,2025,777189.05,,310.892,779362.716,353.156,7431006.602
"IN","Cayuga",1001,2025,2176021.14,,1385.349,2104684.348,3462.936,20549480.811
"IN","Edwardsport Generating Station",1004,2025,1474994.01,,31.865,1150511.47,499.773,12811727.024
"IN","Noblesville",1007,2025,513400.4,,1.612,319545.141,42.809,5376962.826
"IN","F B Culley Generating Station",1012,2025,692739.57,,701.079,856426.426,609.266,8364765.987
