"State","Facility Name","Facility ID","Unit ID","Associated Stacks","Year","Program Code","Primary Rep Info","EPA Region","NERC Region","County","County Code","FIPS Code","Source Category","Latitude","Longitude","Owner/Operator","SO2 Phase","NOx Phase","Unit Type","Primary Fuel Type","Secondary Fuel Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Commercial Operation Date","Operating Status","Max Hourly HI Rate (mmBtu/hr)","Associated Generators & Nameplate Capacity (MWe)"
"AL","Barry",3,"1","CS0AAN",2025,"ARP, CSNOX, CSOSG2, CSSO2G2","605449 (Ended May 15, 2025), 611272 (Started May 15, 2025)",4,"SERC","Mobile County","AL097","097","Electric Utility",31.0069,-88.0103,"Alabama Power Company (Owner)|Alabama Power Company (Operator)","Phase 2","Phase 2 Group 1","Tangentially-fired","Pipeline Natural Gas",,,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"1954-02-12","Operating",2322,"1 (153.1)"
"AL","Barry",3,"2","CS0AAN",2025,"ARP, CSNOX, CSOSG2, CSSO2G2","605449 (Ended May 15, 2025), 611272 (Started May 15, 2025)",4,"SERC","Mobile County","AL097","097","Electric Utility",31.0069,-88.0103,"Alabama Power Company (Owner)|Alabama Power Company (Operator)","Phase 2","Phase 2 Group 1","Tangentially-fired","Pipeline Natural Gas",,,"Low NOx Burner Technology w/ Closed-coupled OFA|Selective Non-catalytic Reduction",,,"1954-07-12","Operating",2359,"2 (153.1)"
"AL","Barry",3,"4",,2025,"ARP, CSNOX, CSOSG2, CSSO2G2","605449 (Ended May 15, 2025), 611272 (Started May 15, 2025)",4,"SERC","Mobile County","AL097","097","Electric Utility",31.0069,-88.0103,"Alabama Power Company (Owner)|Alabama Power Company (Operator)","Phase 2","Phase 2 Group 1","Tangentially-fired","Pipeline Natural Gas",,,"Low NOx Burner Technology w/ Separated OFA|Selective Non-catalytic Reduction",,,"1969-12-31","Operating",3768,"4 (403.8)"
"AL","Barry",3,"5",,2025,"ARP, CSNOX, CSOSG2, CSSO2G2, MATS","605449 (Ended May 15, 2025), 611272 (Started May 15, 2025)",4,"SERC","Mobile County","AL097","097","Electric Utility",31.0069,-88.0103,"Alabama Power Company (Owner)|Alabama Power Company (Operator)","Phase 2","Phase 2 Group 1","Tangentially-fired","Coal","Pipeline Natural Gas","Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction","Electrostatic Precipitator","Catalyst (gold, palladium, or other) used to oxidize mercury","1971-10-19","Operating",11057,"5 (788.8)"
"AL","Barry",3,"6A",,2025,"ARP, CSNOX, CSOSG2, CSSO2G2","605449 (Ended May 15, 2025), 611272 (Started May 15, 2025)",4,"SERC","Mobile County","AL097","097","Electric Utility",31.0069,-88.0103,"Alabama Power Company (Owner)|Alabama Power Company (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2000-03-14","Operating",3000,"A1CT (170.1), A1ST (191.8)"
"AL","Barry",3,"6B",,2025,"ARP, CSNOX, CSOSG2, CSSO2G2","605449 (Ended May 15, 2025), 611272 (Started May 15, 2025)",4,"SERC","Mobile County","AL097","097","Electric Utility",31.0069,-88.0103,"Alabama Power Company (Owner)|Alabama Power Company (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2000-03-21","Operating",3000,"A1CT2 (170.1), A1ST (191.8)"
"AL","Barry",3,"7A",,2025,"ARP, CSNOX, CSOSG2, CSSO2G2","605449 (Ended May 15, 2025), 611272 (Started May 15, 2025)",4,"SERC","Mobile County","AL097","097","Electric Utility",31.0069,-88.0103,"Alabama Power Company (Owner)|Alabama Power Company (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2001-01-13","Operating",3000,"A2ST (191.8), A2C1 (170.1)"
"AL","Barry",3,"7B",,2025,"ARP, CSNOX, CSOSG2, CSSO2G2","605449 (Ended May 15, 2025), 611272 (Started May 15, 2025)",4,"SERC","Mobile County","AL097","097","Electric Utility",31.0069,-88.0103,"Alabama Power Company (Owner)|Alabama Power Company (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2001-01-18","Operating",3000,"A2ST (191.8), A2C2 (170.1)"
"AL","Barry",3,"8",,2025,"ARP, CSNOX, CSOSG2, CSSO2G2, NSPS4T","605449 (Ended May 15, 2025), 611272 (Started May 15, 2025)",4,"SERC","Mobile County","AL097","097","Electric Utility",31.0069,-88.0103,"Alabama Power Company (Owner)|Alabama Power Company (Operator)","Phase 2",,"Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"2023-07-17","Operating",4771,"A3C1 (457), A3ST (305.1)"
"TX","Copper Station",9,"CTG-1",,2025,"CSOSG2","610284",6,,"El Paso County","TX141","141","Electric Utility",31.7569,-106.375,"El Paso Electric Company (Owner)|El Paso Electric Company (Operator)",,,"Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"1980-07-01","Operating",880,"1 (70)"
