timestamp,#Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,lat,lon,emit
2023-01-03 14:55:56,2023-001 ,2459948.12,2023 Jan  3 1455:56,Falcon 9,FT5,196/B1060.15 F196,Transporter-6,Transporter-6,-,-,CC,LC40,-,-,      -, ,    -, ,-,3.511,SPX,OS,-,C,Sat SSO D,spaceflightnow.com,-,-,28.46,-80.54,0.0
2023-01-08 22:00:00,2023-002 ,2459953.42,2023 Jan  8 2200,Chang Zheng 7A,-,Y4,Shi Jian 23,Shi Jian 23,-,-,WEN,LC201,-,-,      -, ,    -, ,-,5.2,CALT,OS,-,G,Sat GTO O,nasaspaceflight.com,xinhuanet.com,-,19.6142,110.9511,0.0
2023-01-09 05:04:00,2023-003 ,2459953.71,2023 Jan  9 0504,Gushenxing 1,1,Y5,Gime Me Five,Keji-1/Tianmu/Tianqi,-,-,JQ,LC43/95A,-,-,      -, ,    -, ,-,0.2,XIDO,OS,-,C,Sat SSO D,nasaspaceflight.com,-,-,41.31,100.31,0.0
2023-01-09 23:08:59,2023-F01  ,2459954.46,2023 Jan  9 2308:59?,LauncherOne,-,R07,UK launch,Start Me Up,-,B747-744,NEWQ,RW12/30,CELS,LP1,      -, ,    -, ,-,0.073,VORB,OF,S2P,C/OG,Sat LEO L,Wire,-,Fuel feed blockage,50.4408,-5.0076,0.0
2023-01-10 04:50:17,2023-004 ,2459954.7,2023 Jan 10 0450:17,Falcon 9,FT5,198/B1076.2  F197,OneWeb-2,OneWeb L16,-,-,CC,LC40,-,-,      -, ,    -, ,-,5.92,SPX,OS,-,C,Sat LEO D,spaceflightnow.com,-,-,28.46,-80.54,0.0
2023-01-10 23:27:31,2023-F02  ,2459955.48,2023 Jan 10 2327:31,RS1,-,1,Varisat 1A/1B,-,-,-,PSCA,LP3C,-,-,      0,?,    -, ,-,0.022,ABLSS,OF,S1P,C,Sat SSO L,Wire,-,Fire caused elec fail,57.4359,-152.3378,0.0
2023-01-12 18:10:00,2023-005 ,2459957.26,2023 Jan 12 1810,Chang Zheng 2C,-,Y61,Apstar 6E,Apstar 6AE,-,-,XSC,LC3,-,-,      -, ,    -, ,-,4.3,CALT,OS,-,G/C,Sat LEO O,nasaspaceflight.com,-,-,28.2472,102.0291,0.0
2023-01-13 07:00:00,2023-006 ,2459957.79,2023 Jan 13 0700,Chang Zheng 2D,-,Y73,Yaogan 37,Yaogan 37,-,-,JQ,LC43/94,-,-,      -, ,    -, ,-,1.2,SAST,OS,-,G,Sat LEO O,nasaspaceflight.com,-,-,41.31,100.31,0.0
2023-01-15 03:14:00,2023-007 ,2459959.63,2023 Jan 15 0314?,Chang Zheng 2D,-,Y71,Jilin/Qilu,Jilin/Qilu,-,-,TYSC,LC9,-,-,      -, ,    -, ,-,0.964,SAST,OS,-,G/C,Sat SSO D,nasaspaceflight.com,xinhuanet.com,-,37.5,112.6,0.0
2023-01-15 22:56:00,2023-008 ,2459960.46,2023 Jan 15 2256,Falcon Heavy,-,005/B1070.1,USSF-67,CBAS-2/LDPE-3A,"B1064.2,B1065.2",-,KSC,LC39A,-,-,      -, ,    -, ,-,3.7,SPX,OS,-,CX/G,Sat GEO O,Wire,-,-,28.6083,-80.6041,0.0
2023-01-18 12:24:00,2023-009 ,2459963.02,2023 Jan 18 1224,Falcon 9,FT5,199/B1077.2  F198,GPS III SV06,GPS III SV06,-,-,CC,LC40,-,-,      -, ,    -, ,-,4.352,SPX,OS,-,CX/G,Sat MTO D,nasaspacflight.com,-,-,28.46,-80.54,0.0
2023-01-19 15:43:10,2023-010 ,2459964.15,2023 Jan 19 1543:10,Falcon 9,FT5,197/B1075.1  F199,Starlink-70,Starlink Group 2-4,V1.5 2-4  (51 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.755,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,34.63,-120.61,0.0
2023-01-24 23:00:00,2023-011 ,2459969.46,2023 Jan 24 2300:00,Electron,-,33,VA is for Launch Lovers,Hawk 6,-,-,MARS,Pad 0C,-,-,      -, ,    -, ,-,0.093,RLABU,OS,-,C,Sat LEO OL,Wire,-,-,37.83,-75.48,0.0
2023-01-26 01:50:21,2023-012 ,2459970.58,2023 Jan 26 0150:21,H-IIA 202,1,H-IIA-46,IGS R-7,IGS R-7,-,-,TNSC,Y,-,-,      -, ,    -, ,-,1.5,MHI,OS,-,CG,Sat SSO O,www.mhi.com,-,-,30.4,130.97,0.0
2023-01-26 09:32:20,2023-013 ,2459970.9,2023 Jan 26 0932:20,Falcon 9,FT5,201/B1067.9  F200,Starlink-71,Starlink Group 5-2,V1.5 5-2  (56 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.28,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,28.46,-80.54,0.0
2023-01-31 16:15:00,2023-014 ,2459976.18,2023 Jan 31 1615:00,Falcon 9,FT5,200/B1071.7  F201,Starlink-72,Starlink Group 2-6,V1.5 5-6  (49 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.395,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,34.63,-120.61,0.0
2023-02-02 07:58:20,2023-015 ,2459977.83,2023 Feb  2 0758:20,Falcon 9,FT5,202/B1069.5  F202,Starlink-73,Starlink Group 5-3,V1.5 5-3  (43 Ku),-,KSC,LC39A,-,-,      -, ,    -, ,-,16.365,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,28.6083,-80.6041,0.0
2023-02-05 09:12:52,2023-016 ,2459980.88,2023 Feb  5 0912:52,Proton-M/DM-3,-,935-68/7L,Elektro-L No. 4,Elektro-L No. 4,-,-,GIK-5,LC81/24,-,-,      -, ,    -, ,-,3.265,KHRU,OS,-,G,Sat GEO SO,nasaspaceflight.com,-,-,46.0,63.0,0.0
2023-02-07 01:32:00,2023-017 ,2459982.56,2023 Feb  7 0132,Falcon 9,FT5,203/B1073.6  F203,Amazonas Nexus,Amazonas Nexus,-,-,CC,LC40,-,-,      -, ,    -, ,-,4.5,SPX,OS,-,C,Sat STO O,Wire,-,-,28.46,-80.54,0.0
2023-02-09 06:15:36,2023-018 ,2459984.76,2023 Feb  9 0615:36,Soyuz-2-1A,-,M 15000-063,Progress MS-22,Progress 7K-TGM No. 452,ISS 83P,-,GIK-5,LC31,-,-,      -, ,    -, ,-,9.918,FKA,OS,-,G,Sat ISS O,spaceflightnow.com,-,-,46.0,63.0,0.0
2023-02-10 03:48:00,2023-019 ,2459985.66,2023 Feb 10 0348,SSLV,-,SSLV-D2,EOS-07,EOS-07,-,-,SHAR,FLP,-,-,    349, ,    -, ,-,0.175,ISRO,OS,-,G,Sat LEO O,ISROWebcast,-,-,13.621,80.303,0.0
2023-02-10 07:01:00,2023-S01  ,2459985.79,2023 Feb 10 0701,Minuteman 3,-,-,Mk 12/21 RV?,GT245GM,GLORY TRIP 245GM,-,V,LF10,-,-,   1300,?,    -, ,KMR,0.0,AFGSC,MS,-,-,Op Test,vandenberg.af.mil,-,-,34.75,-120.62,0.0
2023-02-12 05:10:10,2023-020 ,2459987.72,2023 Feb 12 0510:10,Falcon 9,FT5,205/B1062.12 F204,Starlink-74,Starlink Group 5-4,V1.5 5-4  (55 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,16.975,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,28.46,-80.54,0.0
2023-02-16 12:00:00,2023-S02  ,2459992.0,2023 Feb 16 1200:00,Improved Orion,-,NASA 12.089WT,MesOrion 1,-,-,-,WI,-,-,-,    129, ,    -, ,-,0.0,GSFC,SS,-,WFF/Edwards,Tech,youtube.com,-,-,37.83,-75.48,0.0
2023-02-16 12:28:00,2023-S03  ,2459992.02,2023 Feb 16 1228:00,Improved Orion,-,NASA 12.090WT,MesOrion 2,-,-,-,WI,-,-,-,    125, ,    -, ,-,0.0,GSFC,SS,-,WFF/Edwards,Tech,youtube.com,-,-,37.83,-75.48,0.0
2023-02-17 19:12:20,2023-021 ,2459993.3,2023 Feb 17 1912:20,Falcon 9,FT5,206/B1063.9  F205,Starlink-75,Starlink Group 2-5,V1.5 2-5  (51 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.755,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,34.63,-120.61,0.0
2023-02-18 03:59:00,2023-022 ,2459993.67,2023 Feb 18 0359,Falcon 9,FT5,207/B1077.3  F206,Inmarsat 6 F2,Inmarsat 6 F2,-,-,CC,LC40,-,-,      -, ,    -, ,-,5.47,SPX,OS,-,C,Sat GTO O,Wire,-,-,28.46,-80.54,0.0
2023-02-18 08:22:00,2023-U01  ,2459993.85,2023 Feb 18 0822,Hwasong-15,-,-,-,-,-,-,SUNAN,LP4,-,-,   5768, ,  989, ,-,0.0,JRG,MS,-,-,Sat LEO S,Wire,-,-,39.2674,125.6752,0.0
2023-02-18 09:45:00,2023-S05  ,2459993.91,2023 Feb 18 0945?,Sarmat,-,-,-,-,-,-,GNIIP,-,-,-,    100,?,    -, ,(Kura),0.0,RVSNR,MF,U,-,Test,Wire,-,-,63.0,41.1,0.0
2023-02-19 22:15:00,2023-S04  ,2459995.43,2023 Feb 19 2215?,KN-25,?,-,-,-,-,-,SUKCH,-,-,-,    100, ,  390, ,-,0.0,KPA,MS,-,-,Test,Wire,-,-,39.4,125.6,0.0
2023-02-19 22:15:00,2023-M01  ,2459995.43,2023 Feb 19 2215?,KN-25,?,-,-,-,-,-,SUKCH,-,-,-,     50, ,  340, ,-,0.0,KPA,MS,-,-,Test,Wire,-,-,39.4,125.6,0.0
2023-02-23 11:49:00,2023-023 ,2459998.99,2023 Feb 23 1149,Chang Zheng 3B,G2,Y93,Zhongxing 26,ZX-26,-,-,XSC,LC2,-,-,      -, ,    -, ,-,5.25,CALT,OS,-,G,Sat GTO O,nasaspaceflight.com,-,-,28.2472,102.0291,0.0
2023-02-24 00:24:29,2023-024 ,2459999.52,2023 Feb 24 0024:29,Soyuz-2-1A,-,M 15000-060,Soyuz MS-23,Soyuz 11F732A48 No. 754,ISS 69S,-,GIK-5,LC31,-,-,      -, ,    -, ,-,7.218,FKA,OS,-,G,Sat ISS O,spaceflightnow.com,-,-,46.0,63.0,0.0
2023-02-24 04:01:00,2023-025 ,2459999.67,2023 Feb 24 0401,Chang Zheng 2C,-,Y63,Helusi 1,Horus 1,-,-,JQ,LC43/94,-,-,      -, ,    -, ,-,0.33,CALT,OS,-,G,Sat LEO O,nasaspaceflight.com,-,-,41.31,100.31,0.0
2023-02-25 00:00:00,2023-S25  ,2460000.5,2023 Feb 25,DF-27,-,-,R&D,-,-,-,TYSC?,-,-,-,      -, , 2100, ,-,0.0,PLA2AC,MS,-,-,Test,isss.org,-,-,,,-1.0
2023-02-27 23:13:50,2023-026 ,2460003.47,2023 Feb 27 2313:50,Falcon 9,FT5,208/B1076.3  F207,Starlink-76,Starlink Group 6-1,V2M  6-1  (21 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,15.75,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,28.46,-80.54,0.0
2023-03-02 05:34:14,2023-027 ,2460005.73,2023 Mar  2 0534:14,Falcon 9,FT5,209/B1078.1  F208,Dragon Crew-6,Dragon C206.4,-,-,KSC,LC39A,-,-,      -, ,    -, ,-,13.055,SPX,OS,-,C,Sat ISS D,Wire,-,-,28.6083,-80.6041,0.0
2023-03-03 18:38:50,2023-028 ,2460007.28,2023 Mar  3 1838:50,Falcon 9,FT5,204/B1061.12 F209,Starlink-77,Starlink Group 2-7,V1.5 2-7  (51 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,15.755,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,34.63,-120.61,0.0
2023-03-04 00:00:00,2023-F10  ,2460007.5,2023 Mar  4,Qaem-100,-,-,Nahid-1,-,-,-,SHAHR,-,-,-,    200,?,    -, ,Arabian Sea?,0.05,IRGC,OF,U,G,Sat LEO O,Wire,-,Unkown failure mode,36.23,55.33,0.0
2023-03-07 01:37:55,2023-F03  ,2460010.57,2023 Mar  7 0137:55,H3-22S,-,H3-TF1,Daichi 3,ALOS 3,-,-,TNSC,Y2,-,-,    632, ,    -, ,-,2.9,JAXA,OF,S2I,G,Sat LEO D,Wire,-,Stage 2 ft ignite,30.4,130.97,0.0
2023-03-09 09:20:00,2023-A01  ,2460012.89,2023 Mar  9 0920,Hwasong-11Ra,?,-,-,-,-,-,TAES,-,-,-,     25, ,  110, ,-,0.0,KPA,MS,-,-,Test,Wire,-,-,38.9073,125.44,0.0
2023-03-09 09:20:00,2023-A02  ,2460012.89,2023 Mar  9 0920,Hwasong-11Ra,?,-,-,-,-,-,TAES,-,-,-,     25, ,  110, ,-,0.0,KPA,MS,-,-,Test,Wire,-,-,38.9073,125.44,0.0
2023-03-09 09:20:00,2023-A03  ,2460012.89,2023 Mar  9 0920,Hwasong-11Ra,?,-,-,-,-,-,TAES,-,-,-,     25, ,  110, ,-,0.0,KPA,MS,-,-,Test,Wire,-,-,38.9073,125.44,0.0
2023-03-09 09:20:00,2023-A04  ,2460012.89,2023 Mar  9 0920,Hwasong-11Ra,?,-,-,-,-,-,TAES,-,-,-,     25, ,  110, ,-,0.0,KPA,MS,-,-,Test,Wire,-,-,38.9073,125.44,0.0
2023-03-09 09:20:00,2023-A05  ,2460012.89,2023 Mar  9 0920,Hwasong-11Ra,?,-,-,-,-,-,TAES,-,-,-,     25, ,  110, ,-,0.0,KPA,MS,-,-,Test,Wire,-,-,38.9073,125.44,0.0
2023-03-09 09:20:00,2023-A06  ,2460012.89,2023 Mar  9 0920,Hwasong-11Ra,?,-,-,-,-,-,TAES,-,-,-,     25, ,  110, ,-,0.0,KPA,MS,-,-,Test,Wire,-,-,38.9073,125.44,0.0
2023-03-09 19:13:28,2023-029 ,2460013.3,2023 Mar  9 1913:28,Falcon 9,FT5,210/B1062.13 F210,OneWeb-3,OneWeb L17,-,-,CC,LC40,-,-,      -, ,    -, ,-,5.92,SPX,OS,-,C,Sat LEO D,spaceflightnow.com,-,-,28.46,-80.54,0.0
2023-03-09 22:41:00,2023-030 ,2460013.45,2023 Mar  9 2241,Chang Zheng 4C,-,Y51,Tianhui-6 01/02,TH-6 01/02,-,-,TYSC,LC9,-,-,      -, ,    -, ,-,2.05,SAST,OS,-,G,Sat SSO L,nasaspaceflight.com,xinhuanet.com,-,37.5,112.6,0.0
2023-03-12 23:13:00,2023-031 ,2460016.47,2023 Mar 12 2313:00,Proton-M/Briz-M,-,935-72/99569,Luch-5Kh,Olimp-K No. 13L,-,-,GIK-5,LC81/24,-,-,      -, ,    -, ,-,2.93,KHRU,OS,-,G,Sat GEO SO,nasaspaceflight.com,-,-,46.0,63.0,0.0
